"MOD_NAME","EAC_FRIENDLY","SERVER_SIDE","CLIENT_REQUIRED","SAFE_TO_INSTALL","SAFE_TO_REMOVE","UNIQUE","QUOTE_FILE"
"AGF-NoEAC-ConsoleOpacityMod","No","Unknown","Unknown","SAFE","UNKNOWN","None","AGF-NoEAC-ConsoleOpacityMod.txt"
"AGF-NoEAC-CosmeticLockIcon","No","No","Yes","SAFE","UNKNOWN","None","AGF-NoEAC-CosmeticLockIcon.txt"
"AGF-NoEAC-EnhancedPatch","No","No","Yes","SAFE","SAFE","None","AGF-NoEAC-EnhancedPatch.txt"
"AGF-NoEAC-ExpandedInteractionPrompts","No","No","Yes","Safe","Safe","None","AGF-NoEAC-ExpandedInteractionPrompts.txt"
"AGF-NoEAC-GlobalStormTracker","No","Yes","No","SAFE","UNKNOWN","None","AGF-NoEAC-GlobalStormTracker.txt"
"AGF-NoEAC-ItemTypeIconColor","No","No","Yes","SAFE","UNKNOWN","None","AGF-NoEAC-ItemTypeIconColor.txt"
"AGF-NoEAC-OpenAllButton","No","No","Yes","Yes","UNKNOWN","None","AGF-NoEAC-OpenAllButton.txt"
"AGF-NoEAC-ScreamerAlert","No","No","Yes","SAFE","UNKNOWN","None","AGF-NoEAC-ScreamerAlert.txt"
"AGF-NoEAC-SortingBox","No","UNIQUE","UNIQUE","SAFE","DANGEROUS","Server side if dedicated server - otherwise client side.","AGF-NoEAC-SortingBox.txt"
"AGF-NoEAC-TerrainLeveler","MISSINGDATA","MISSINGDATA","MISSINGDATA","MISSINGDATA","MISSINGDATA","MISSINGDATA","AGF-NoEAC-TerrainLeveler.txt"
"AGF-ServerUIChanges","MISSINGDATA","MISSINGDATA","MISSINGDATA","MISSINGDATA","MISSINGDATA","MISSINGDATA","AGF-ServerUIChanges.txt"
"AGF-VP-AdminModdingSupport","Yes","Yes","No","SAFE","DANGEROUS","None","AGF-VP-AdminModdingSupport.txt"
"AGF-VP-AlternativeRecipes","Yes","Yes","No","SAFE","SAFE","None","AGF-VP-AlternativeRecipes.txt"
"AGF-VP-AmmoDisassembly","Yes","Yes","No","SAFE","DANGEROUS","None","AGF-VP-AmmoDisassembly.txt"
"AGF-VP-ApiaryPlus","Yes","Yes","No","SAFE","DANGEROUS","None","AGF-VP-ApiaryPlus.txt"
"AGF-VP-ArcheryFeathersChange","Yes","Yes","No","SAFE","SAFE","None","AGF-VP-ArcheryFeathersChange.txt"
"AGF-VP-ArmorHarvestMods","Yes","Yes","No","SAFE","DANGEROUS","None","AGF-VP-ArmorHarvestMods.txt"
"AGF-VP-AutomobilesRespawn","Yes","Yes","No","SAFE","DANGEROUS","None","AGF-VP-AutomobilesRespawn.txt"
"AGF-VP-BedrollPlus","Yes","Yes","No","SAFE","DANGEROUS","None","AGF-VP-BedrollPlus.txt"
"AGF-VP-BetterEggChance","Yes","Yes","No","SAFE","SAFE","None","AGF-VP-BetterEggChance.txt"
"AGF-VP-BreakItGetIt","Yes","Yes","No","SAFE","SAFE","None","AGF-VP-BreakItGetIt.txt"
"AGF-VP-BuyTraderVendingMachines","Yes","Yes","No","SAFE","SAFE","None","AGF-VP-BuyTraderVendingMachines.txt"
"AGF-VP-CraftSewingKits","Yes","Yes","No","SAFE","SAFE","None","AGF-VP-CraftSewingKits.txt"
"AGF-VP-CraftStackEngBattCells","Yes","Yes","No","SAFE","DANGEROUS","None","AGF-VP-CraftStackEngBattCells.txt"
"AGF-VP-CraftVitamins","Yes","Yes","No","SAFE","SAFE","None","AGF-VP-CraftVitamins.txt"
"AGF-VP-DecorationBlock","Yes","Yes","No","SAFE","DANGEROUS","None","AGF-VP-DecorationBlock.txt"
"AGF-VP-DewsPlus","Yes","Yes","No","SAFE","DANGEROUS","None","AGF-VP-DewsPlus.txt"
"AGF-VP-DoorsPlus","Yes","Yes","No","SAFE","DANGEROUS","None","AGF-VP-DoorsPlus.txt"
"AGF-VP-DrinkableAcid","Yes","Yes","No","SAFE","SAFE","None","AGF-VP-DrinkableAcid.txt"
"AGF-VP-DyesPlus","Yes","Yes","No","SAFE","DANGEROUS","None","AGF-VP-DyesPlus.txt"
